year,raceId,boatType,classId,place,value,temp,rain,water
2013,ADK90,Canoe,oc4open,1,10016,59.8,0.185,3.56
2017,ADK90,Kayak,k2,1,10045,56.9,0,4
2022,ADK90,Kayak,k1unlimitedopen,1,10129.1,70.5,0,3.32
2022,ADK90,Canoe,oc4,1,10133.7,70.5,0,3.32
2019,ADK90,Kayak,k1unlimited,1,10159,59,0.02,3.67
2011,ADK90,Canoe,voyageur,1,10259,61.2,0,4.36
2011,ADK90,Canoe,oc4open,1,10357,61.2,0,4.36
2012,ADK90,Canoe,oc4open,1,10358,60.8,0.02,3.05
2021,ADK90,Kayak,k4,1,10358,68.4,0.028,3.04
2014,ADK90,Canoe,oc4open,1,10394,65,0,2.97
2025,ADK90,Kayak,k2,1,10451.2,59.2,0,2.97
2012,ADK90,Canoe,oc4open,2,10456,60.8,0.02,3.05
2011,ADK90,Canoe,voyageur,2,10504,61.2,0,4.36
2017,ADK90,Canoe,oc4open,1,10504,56.9,0,4
2009,ADK90,Canoe,voyageur,1,10574,63.8,0.028,3.28
2011,ADK90,Canoe,oc4open,2,10576,61.2,0,4.36
2022,ADK90,Canoe,oc4,2,10599.8,70.5,0,3.32
2023,ADK90,Canoe,oc4mix,1,10664.6,64.2,0.421,4.17
2014,ADK90,Canoe,oc4open,2,10689,65,0,2.97
2009,ADK90,Canoe,voyageur,3,10699,63.8,0.028,3.28
2017,ADK90,Canoe,oc4open,2,10732,56.9,0,4
2021,ADK90,Canoe,oc4,1,10738,68.4,0.028,3.04
2008,ADK90,Canoe,voyageur,1,10744,63.5,0.268,3.46
2009,ADK90,Canoe,voyageur,2,10752,63.8,0.028,3.28
2017,ADK90,Canoe,oc4,1,10757,56.9,0,4
2021,ADK90,Canoe,oc4,2,10762,68.4,0.028,3.04
2014,ADK90,Canoe,oc4open,3,10765,65,0,2.97
2023,ADK90,Kayak,k1unlimited,1,10766,64.2,0.421,4.17
2025,ADK90,Canoe,oc4open,1,10777.5,59.2,0,2.97
2012,ADK90,Canoe,voyageur,1,10794,60.8,0.02,3.05
2013,ADK90,Canoe,oc4open,2,10800,59.8,0.185,3.56
2023,ADK90,Kayak,k2,1,10828.1,64.2,0.421,4.17
2013,ADK90,Canoe,oc4open,3,10879,59.8,0.185,3.56
2023,ADK90,Canoe,oc4mix,2,10882.5,64.2,0.421,4.17
2008,ADK90,Canoe,voyageur,2,10890,63.5,0.268,3.46
2023,ADK90,Unknown,voyageur,1,10917.6,64.2,0.421,4.17
2008,ADK90,Kayak,k1unlimited,1,10918,63.5,0.268,3.46
2009,ADK90,Canoe,open,NA,10944,63.8,0.028,3.28
2025,ADK90,Canoe,oc4open,2,10946.9,59.2,0,2.97
2013,ADK90,Canoe,voyageur,1,10962,59.8,0.185,3.56
2015,ADK90,Canoe,oc4open,1,11007,64.2,1.535,3.45
2019,ADK90,Canoe,oc4open,1,11016,59,0.02,3.67
2019,ADK90,Canoe,oc4open,2,11017,59,0.02,3.67
2025,ADK90,Canoe,oc4openmix,1,11043.8,59.2,0,2.97
2017,ADK90,Canoe,voyageur,2,11046,56.9,0,4
2015,ADK90,Canoe,oc4open,2,11047,64.2,1.535,3.45
2011,ADK90,Canoe,voyageur,3,11054,61.2,0,4.36
2013,ADK90,Canoe,oc4mix,2,11055,59.8,0.185,3.56
2023,ADK90,Canoe,oc4mix,3,11056.9,64.2,0.421,4.17
2017,ADK90,Canoe,voyageur,1,11065,56.9,0,4
2022,ADK90,Canoe,oc4,3,11070.7,70.5,0,3.32
2013,ADK90,Canoe,oc4mix,1,11073,59.8,0.185,3.56
2014,ADK90,Canoe,voyageur,1,11075,65,0,2.97
2015,ADK90,Canoe,oc4,1,11075,64.2,1.535,3.45
2023,ADK90,Canoe,oc4,1,11075.4,64.2,0.421,4.17
2013,ADK90,Canoe,oc4mix,3,11076,59.8,0.185,3.56
2025,ADK90,Canoe,oc4open,3,11082.9,59.2,0,2.97
2013,ADK90,Canoe,oc4open,4,11094,59.8,0.185,3.56
2018,ADK90,Kayak,k1unlimited,1,11127,54.4,0,3.2
2013,ADK90,Canoe,oc4open,5,11148,59.8,0.185,3.56
