year,raceId,boatType,classId,place,value
2013,ADK90,Canoe,oc4open,1,16124
2012,ADK90,Canoe,oc4open,1,16849
2014,ADK90,Canoe,oc4open,1,17074
2022,ADK90,Canoe,oc4,1,17159.3
2002,ADK90,Kayak,k2,1,17328
2013,ADK90,Canoe,oc4open,2,17387
2025,ADK90,Kayak,k2,1,17411.5
2017,ADK90,Canoe,oc4open,1,17415
2023,ADK90,Canoe,oc4mix,1,17425.5
2011,ADK90,Canoe,voyageur,1,17487
2004,ADK90,Kayak,k2,1,17492
2023,ADK90,Kayak,k2,1,17559.5
2022,ADK90,Kayak,k1unlimitedopen,1,17569.6
2021,ADK90,Canoe,oc4,1,17580
2017,ADK90,Kayak,k2,1,17603
2021,ADK90,Canoe,oc4,2,17627
2012,ADK90,Canoe,oc4open,2,17659
2024,ADK90,Kayak,k2,1,17674.3
2024,ADK90,Canoe,oc4open,1,17725.8
2025,ADK90,Canoe,oc4open,2,17765.9
2023,ADK90,Canoe,oc4mix,2,17769.5
2015,ADK90,Canoe,oc4open,1,17781
2022,ADK90,Canoe,oc4,2,17784.4
2025,ADK90,Canoe,oc4open,1,17792.7
2017,ADK90,Canoe,oc4,1,17799
2013,ADK90,Canoe,oc4mix,1,17817
2002,ADK90,Kayak,k2,2,17844
2019,ADK90,Canoe,oc4open,1,17952
2009,ADK90,Canoe,voyageur,1,17966
2024,ADK90,Canoe,oc4openmix,1,17974.4
2016,ADK90,Canoe,oc4open,1,17985
2018,ADK90,Canoe,oc4open,1,18061
2012,ADK90,Canoe,voyageur,1,18092
2018,ADK90,Kayak,k1unlimited,1,18104
2007,ADK90,Canoe,oc2am,1,18108
2016,ADK90,Canoe,oc4mix,1,18109
2017,ADK90,Canoe,oc4open,2,18111
2013,ADK90,Canoe,voyageur,1,18126
2019,ADK90,Canoe,oc4open,2,18126
2013,ADK90,Canoe,oc4open,3,18162
2016,ADK90,Canoe,oc4open,2,18164
2013,ADK90,Canoe,oc4mix,2,18191
2014,ADK90,Canoe,oc4open,3,18197
2008,ADK90,Canoe,voyageur,2,18205
2025,ADK90,Canoe,oc4open,3,18212.4
2024,ADK90,Canoe,oc4open,2,18275.7
2018,ADK90,Canoe,oc4open,2,18300
2025,ADK90,Canoe,oc4openmix,1,18326.8
2013,ADK90,Canoe,oc4open,4,18330
2013,ADK90,Canoe,oc4open,5,18335
2014,ADK90,Canoe,oc4women,1,18339
2024,ADK90,Canoe,oc4open,3,18351.1
2013,ADK90,Canoe,oc4mix,3,18394
2025,ADK90,Canoe,oc4openmix,3,18422.6
2008,ADK90,Kayak,k1unlimited,1,18434
2023,ADK90,Canoe,oc4,1,18447.3
2013,ADK90,Canoe,oc4mix,4,18451
2015,ADK90,Canoe,oc4open,3,18452
2023,ADK90,Canoe,oc4mix,4,18453.7
2014,ADK90,Canoe,oc4open,2,18464
2011,ADK90,Canoe,oc4open,2,18481
2010,ADK90,Canoe,voyageur,1,18497
2003,ADK90,Canoe,oc2am,1,18499
2008,ADK90,Canoe,voyageur,1,18516
2011,ADK90,Canoe,oc4open,1,18529
2014,ADK90,Canoe,oc4,2,18529
2019,ADK90,Kayak,k1unlimited,1,18553
2016,ADK90,Kayak,k2,1,18570
2025,ADK90,Canoe,oc4open,4,18574.2
2012,ADK90,Canoe,oc4,1,18578
2014,ADK90,Canoe,oc4,1,18582
2015,ADK90,Canoe,oc4open,2,18586
2014,ADK90,Canoe,voyageur,1,18619
2007,ADK90,Kayak,k2,1,18633
2011,ADK90,Canoe,voyageur,2,18638
2009,ADK90,Canoe,voyageur,2,18640
2003,ADK90,Kayak,k2,1,18650
2013,ADK90,Canoe,oc4mix,5,18653
2015,ADK90,Canoe,oc4,1,18656
2012,ADK90,Canoe,voyageur,2,18662
2003,ADK90,Canoe,oc2am,2,18662
2023,ADK90,Kayak,k1unlimited,1,18666.5
2025,ADK90,Canoe,oc4openmix,2,18698.7
2003,ADK90,Kayak,k1unlimitedmaster,1,18704
2023,ADK90,Unknown,voyageur,1,18724.4
2003,ADK90,Canoe,oc2ammaster,2,18725
2003,ADK90,Canoe,oc2ammaster,1,18729
2023,ADK90,Canoe,oc4mix,3,18731.7
2018,ADK90,Canoe,oc4open,3,18743
2007,ADK90,Unknown,voyageur,1,18749
2015,ADK90,Canoe,voyageur,1,18753
2006,ADK90,Canoe,oc2ammix,1,18791
2006,ADK90,Canoe,oc2am,1,18792
2016,ADK90,Canoe,voyageur,1,18795
2021,ADK90,Kayak,k4,1,18813
2016,ADK90,Canoe,oc4open,3,18815
2001,ADK90,Canoe,oc2rac,1,18815
2003,ADK90,Kayak,k1unlimitedmaster,2,18851
2017,ADK90,Canoe,oc4open,3,18864
2022,ADK90,Canoe,oc4,3,18891
2007,ADK90,Canoe,oc2ammaster,2,18893
2005,ADK90,Kayak,k2,1,18894
2007,ADK90,Canoe,oc2ammaster,1,18897
2010,ADK90,Canoe,oc4mix,1,18912
2012,ADK90,Canoe,oc4mix,1,18923
2016,ADK90,Canoe,oc4mix,2,18951
2012,ADK90,Canoe,oc4open,3,18952
2001,ADK90,Canoe,oc2rac,2,18971
2015,ADK90,Canoe,oc4mix,1,18988
2008,ADK90,Canoe,oc2am,1,19025
2001,ADK90,Canoe,oc2racmaster,1,19027
2018,ADK90,Canoe,oc4stock,1,19028
2001,ADK90,Canoe,oc2rac,3,19061
2005,ADK90,Canoe,oc2ammaster,1,19072
2021,ADK90,Canoe,oc4,3,19073
2013,ADK90,Canoe,oc4open,6,19075
2024,ADK90,Kayak,k1openmaster,1,19079.9
2012,ADK90,Canoe,oc4open,5,19092
2018,ADK90,Unknown,voyageur,1,19093
2006,ADK90,Canoe,oc2am,2,19094
2022,ADK90,Canoe,oc4,4,19095.5
2007,ADK90,Canoe,oc2am,2,19110
2014,ADK90,Canoe,voyageur,2,19113
2024,ADK90,Unknown,voyageurmix,1,19154.7
2012,ADK90,Canoe,oc4mix,4,19159
2013,ADK90,Canoe,oc4,4,19162
2024,ADK90,Canoe,oc4open,4,19162.8
2003,ADK90,Canoe,oc2ammaster,4,19174
2002,ADK90,Canoe,oc2ammaster,2,19181
2001,ADK90,Canoe,oc2racmaster,2,19192
2008,ADK90,Canoe,oc2am,2,19203
2021,ADK90,Canoe,oc4stockmixmaster,1,19226
2018,ADK90,Canoe,oc4stockmix,1,19231
2002,ADK90,Kayak,k1marathon,1,19252
2007,ADK90,Canoe,oc2ammaster,3,19263
2001,ADK90,Canoe,oc2racmaster,4,19274
2002,ADK90,Canoe,oc2ammaster,1,19277
2012,ADK90,Kayak,k2,2,19283
2013,ADK90,Kayak,k1unlimited,1,19287
2005,ADK90,Canoe,oc2ammaster,2,19288
2013,ADK90,Canoe,oc4mix,6,19290
2003,ADK90,Canoe,oc2ammaster,3,19303
2004,ADK90,Canoe,oc2am,1,19310
2025,ADK90,Canoe,oc2openexhibmix,1,19345.3
2011,ADK90,Canoe,oc4,1,19351
2012,ADK90,Canoe,oc4open,4,19352
2008,ADK90,Canoe,oc2ammaster,1,19356
2012,ADK90,Canoe,oc4mix,3,19357
2005,ADK90,Canoe,oc2ammaster,3,19372
2005,ADK90,Canoe,oc2am,1,19377
2017,ADK90,Canoe,voyageur,2,19379
2016,ADK90,Canoe,voyageur,2,19389
2012,ADK90,Canoe,oc4mix,2,19401
2005,ADK90,Canoe,oc2ammaster,4,19408
2010,ADK90,Canoe,oc4,3,19415
2015,ADK90,Canoe,oc4mix,2,19440
2017,ADK90,Canoe,oc4,2,19452
2013,ADK90,Canoe,oc4,1,19460
2022,ADK90,Canoe,oc4stock,1,19469.4
2004,ADK90,Canoe,oc2ammaster,1,19473
2017,ADK90,Kayak,k2,2,19473
2013,ADK90,Canoe,oc4,3,19477
2014,ADK90,Canoe,oc4,3,19479
2021,ADK90,Canoe,oc4stock,1,19485
2010,ADK90,Canoe,oc4,1,19485
2003,ADK90,Canoe,oc2ammaster,5,19497
2014,ADK90,Canoe,oc4open,4,19502
2022,ADK90,Canoe,oc4,5,19504.3
2006,ADK90,Canoe,oc2am,3,19505
2025,ADK90,Canoe,oc4stockmix,1,19515.8
2016,ADK90,Canoe,oc4,1,19521
2022,ADK90,Canoe,oc4,6,19527.7
2023,ADK90,Canoe,oc4stockmix,1,19531
2005,ADK90,Canoe,oc2ammixmaster,1,19532
2006,ADK90,Kayak,k1unlimited,1,19551
2002,ADK90,Canoe,oc2am,1,19573
2010,ADK90,Canoe,oc2am,1,19575
2021,ADK90,Unknown,voyageur,1,19581
2002,ADK90,Canoe,oc2amwomenmaster,1,19601
2009,ADK90,Canoe,voyageur,3,19608
2011,ADK90,Canoe,voyageur,3,19614
2006,ADK90,Canoe,oc1am,1,19617
2019,ADK90,Canoe,oc4open,3,19617
2008,ADK90,Canoe,voyageur,3,19617
2006,ADK90,Canoe,oc2am,4,19622
2005,ADK90,Canoe,oc4,1,19622
2024,ADK90,Canoe,oc4openmix,2,19627
2025,ADK90,Canoe,oc4stock,1,19630.2
2021,ADK90,Canoe,oc4stock,2,19631
2002,ADK90,Canoe,oc2ammaster,4,19631
2022,ADK90,Canoe,voyageur,1,19634
2017,ADK90,Canoe,voyageur,1,19634
2006,ADK90,Canoe,oc4,1,19637
2006,ADK90,Unknown,voyageur,1,19638
2010,ADK90,Canoe,oc4,2,19646
2013,ADK90,Canoe,oc4,2,19656
2019,ADK90,Kayak,k1unlimited,2,19659
2002,ADK90,Canoe,oc2am,2,19673
2002,ADK90,Canoe,oc2ammaster,3,19675
2025,ADK90,Canoe,oc4stockmix,2,19692.9
2006,ADK90,Canoe,oc2am,5,19698
2002,ADK90,Canoe,oc2am,3,19703
2015,ADK90,Canoe,voyageur,2,19707
2001,ADK90,Canoe,oc2rac,4,19717
2023,ADK90,Canoe,oc4stock,1,19722.4
2007,ADK90,Canoe,oc2ammix,1,19745
2004,ADK90,Kayak,k2,2,19746
2024,ADK90,Canoe,oc4openmix,3,19746.8
2019,ADK90,Unknown,voyageur,1,19753
2008,ADK90,Canoe,oc4mix,1,19760
2017,ADK90,Canoe,oc4mix,1,19761
2011,ADK90,Canoe,oc4,2,19785
2015,ADK90,Canoe,oc4mix,3,19786
2010,ADK90,Canoe,open,NA,19792
2010,ADK90,Canoe,voyageur,4,19796
2001,ADK90,Canoe,oc2rac,5,19802
2001,ADK90,Kayak,k1master,2,19820
2007,ADK90,Kayak,k2,2,19828
2007,ADK90,Unknown,voyageur,3,19835
2003,ADK90,Canoe,oc2am,3,19840
2001,ADK90,Canoe,oc2racmaster,3,19850
2009,ADK90,Canoe,oc2ammaster,1,19855
2006,ADK90,Kayak,k1unlimited,2,19859
2002,ADK90,Canoe,oc2ammixmaster,1,19859
2002,ADK90,Kayak,k1marathon,2,19863
2005,ADK90,Kayak,k1unlimited,1,19868
2009,ADK90,Canoe,oc2am,1,19871
2005,ADK90,Canoe,oc2ammaster,5,19871
2023,ADK90,Canoe,oc4,2,19901.8
2001,ADK90,Kayak,k1master,1,19903
2006,ADK90,Canoe,oc2am,6,19905
2017,ADK90,Canoe,oc4open,4,19917
2012,ADK90,Canoe,oc4,2,19923
