year,raceId,boatType,classId,place,value
2013,ADK90,Canoe,oc4open,1,10016
2017,ADK90,Kayak,k2,1,10045
2004,ADK90,Kayak,k2,1,10078
2022,ADK90,Kayak,k1unlimitedopen,1,10129.1
2022,ADK90,Canoe,oc4,1,10133.7
2019,ADK90,Kayak,k1unlimited,1,10159
2011,ADK90,Canoe,voyageur,1,10259
2011,ADK90,Canoe,oc4open,1,10357
2012,ADK90,Canoe,oc4open,1,10358
2021,ADK90,Kayak,k4,1,10358
2014,ADK90,Canoe,oc4open,1,10394
2025,ADK90,Kayak,k2,1,10451.2
2012,ADK90,Canoe,oc4open,2,10456
2002,ADK90,Kayak,k2,1,10480
2011,ADK90,Canoe,voyageur,2,10504
2017,ADK90,Canoe,oc4open,1,10504
2009,ADK90,Canoe,voyageur,1,10574
2011,ADK90,Canoe,oc4open,2,10576
2022,ADK90,Canoe,oc4,2,10599.8
2023,ADK90,Canoe,oc4mix,1,10664.6
2014,ADK90,Canoe,oc4open,2,10689
2009,ADK90,Canoe,voyageur,3,10699
2017,ADK90,Canoe,oc4open,2,10732
2021,ADK90,Canoe,oc4,1,10738
2008,ADK90,Canoe,voyageur,1,10744
2009,ADK90,Canoe,voyageur,2,10752
2017,ADK90,Canoe,oc4,1,10757
2021,ADK90,Canoe,oc4,2,10762
2014,ADK90,Canoe,oc4open,3,10765
2023,ADK90,Kayak,k1unlimited,1,10766
2025,ADK90,Canoe,oc4open,1,10777.5
2012,ADK90,Canoe,voyageur,1,10794
2013,ADK90,Canoe,oc4open,2,10800
1998,ADK90,Canoe,oc2pro,1,10805
2000,ADK90,Kayak,k1,1,10820
2023,ADK90,Kayak,k2,1,10828.1
2002,ADK90,Kayak,k2,2,10873
2013,ADK90,Canoe,oc4open,3,10879
2023,ADK90,Canoe,oc4mix,2,10882.5
2008,ADK90,Canoe,voyageur,2,10890
1997,ADK90,Kayak,k1open,1,10915
2023,ADK90,Unknown,voyageur,1,10917.6
2008,ADK90,Kayak,k1unlimited,1,10918
1997,ADK90,Kayak,k1open,2,10925
2009,ADK90,Canoe,open,NA,10944
2025,ADK90,Canoe,oc4open,2,10946.9
1994,ADK90,Kayak,k1sprint,1,10960
2013,ADK90,Canoe,voyageur,1,10962
1998,ADK90,Canoe,oc2pro,2,10995
2015,ADK90,Canoe,oc4open,1,11007
2019,ADK90,Canoe,oc4open,1,11016
2019,ADK90,Canoe,oc4open,2,11017
2004,ADK90,Unknown,voyageur,1,11032
2025,ADK90,Canoe,oc4openmix,1,11043.8
2017,ADK90,Canoe,voyageur,2,11046
2015,ADK90,Canoe,oc4open,2,11047
2011,ADK90,Canoe,voyageur,3,11054
2013,ADK90,Canoe,oc4mix,2,11055
2007,ADK90,Canoe,voyageur,2,11056
2023,ADK90,Canoe,oc4mix,3,11056.9
2017,ADK90,Canoe,voyageur,1,11065
2022,ADK90,Canoe,oc4,3,11070.7
2013,ADK90,Canoe,oc4mix,1,11073
2014,ADK90,Canoe,voyageur,1,11075
2015,ADK90,Canoe,oc4,1,11075
2023,ADK90,Canoe,oc4,1,11075.4
2013,ADK90,Canoe,oc4mix,3,11076
2025,ADK90,Canoe,oc4open,3,11082.9
2007,ADK90,Kayak,k2,1,11086
2013,ADK90,Canoe,oc4open,4,11094
2018,ADK90,Kayak,k1unlimited,1,11127
2013,ADK90,Canoe,oc4open,5,11148
1999,ADK90,Kayak,k1open,1,11150
2003,ADK90,Kayak,k1unlimitedmaster,1,11154
2011,ADK90,Canoe,oc4,1,11155
2012,ADK90,Canoe,voyageur,2,11178
2025,ADK90,Canoe,oc4open,4,11179.1
2004,ADK90,Unknown,voyageur,2,11182
2019,ADK90,Canoe,oc4open,3,11186
2011,ADK90,Canoe,oc4open,3,11202
2022,ADK90,Canoe,voyageur,1,11213.7
2013,ADK90,Canoe,oc4mix,6,11214
2013,ADK90,Canoe,oc4open,6,11217
2025,ADK90,Kayak,k1open,1,11222.5
2013,ADK90,Canoe,oc4mix,4,11225
2017,ADK90,Canoe,oc4open,3,11226
2015,ADK90,Canoe,oc4open,3,11229
2022,ADK90,Canoe,oc4,4,11230.5
2012,ADK90,Canoe,oc4,1,11235
2000,ADK90,Kayak,k2,1,11256
2019,ADK90,Kayak,k1unlimited,2,11256
2025,ADK90,Canoe,oc4openmix,2,11258.7
2003,ADK90,Kayak,k1unlimitedmaster,2,11259
2022,ADK90,Kayak,k1unlimitedmaster,1,11271.6
2014,ADK90,Canoe,oc4,1,11278
2014,ADK90,Canoe,oc4women,1,11279
2017,ADK90,Kayak,k2,2,11280
2000,ADK90,Canoe,oc2rac,1,11286
1995,ADK90,Kayak,k1sprint,1,11293
2000,ADK90,Canoe,oc2racmaster,2,11298
2004,ADK90,Kayak,k2,2,11298
1994,ADK90,Canoe,oc2pro,1,11305
2012,ADK90,Canoe,oc4open,4,11306
2012,ADK90,Canoe,oc4mix,1,11308
1998,ADK90,Kayak,k1,1,11309
1994,ADK90,Canoe,oc2rac,1,11309
2000,ADK90,Canoe,oc2rac,2,11314
1998,ADK90,Kayak,k1,2,11318
2012,ADK90,Canoe,oc4open,5,11318
2015,ADK90,Canoe,voyageur,1,11319
2001,ADK90,Canoe,oc2rac,1,11327
2010,ADK90,Canoe,voyageur,1,11327
2001,ADK90,Canoe,oc2rac,2,11330
1994,ADK90,Kayak,k1sprint,2,11331
2006,ADK90,Canoe,oc2ammix,1,11332
2004,ADK90,Canoe,oc2am,1,11333
2001,ADK90,Canoe,oc2racmaster,3,11335
2004,ADK90,Canoe,oc2ammaster,1,11336
2006,ADK90,Canoe,oc2am,1,11340
2000,ADK90,Canoe,oc2racmaster,3,11351
2000,ADK90,Canoe,oc2rac,3,11352
2012,ADK90,Kayak,k2,2,11359
2014,ADK90,Canoe,voyageur,2,11369
2007,ADK90,Canoe,oc2ammaster,1,11373
2007,ADK90,Unknown,voyageur,1,11377
2008,ADK90,Canoe,voyageur,4,11379
2012,ADK90,Canoe,oc4open,3,11381
2025,ADK90,Canoe,oc4openmix,3,11381.9
2001,ADK90,Canoe,oc2racmaster,1,11386
2011,ADK90,Canoe,oc4,2,11388
2018,ADK90,Canoe,oc4open,1,11389
2009,ADK90,Canoe,oc4,1,11391
2023,ADK90,Canoe,oc4mix,4,11393.3
1997,ADK90,Canoe,oc2promaster,1,11395
1997,ADK90,Canoe,oc2promaster,3,11397
2004,ADK90,Canoe,oc2am,2,11397
2012,ADK90,Canoe,oc4mix,2,11399
1997,ADK90,Canoe,oc2,2,11399
2003,ADK90,Kayak,k1unlimited,1,11401
1998,ADK90,Canoe,oc2promaster,1,11401
2014,ADK90,Canoe,oc4,2,11402
2001,ADK90,Canoe,oc2racmaster,2,11404
2013,ADK90,Canoe,oc4mix,5,11415
2004,ADK90,Canoe,oc2am,3,11429
1994,ADK90,Kayak,k1sprint,3,11432
2007,ADK90,Canoe,oc2am,1,11438
1999,ADK90,Canoe,oc2racmaster,1,11444
1999,ADK90,Canoe,oc2rac,1,11444
1997,ADK90,Canoe,oc2promaster,2,11445
1998,ADK90,Canoe,oc2rac,1,11446
2008,ADK90,Canoe,oc4mix,1,11452
2000,ADK90,Canoe,oc2racmaster,1,11452
2003,ADK90,Canoe,oc2am,1,11455
1994,ADK90,Canoe,oc2racmaster,1,11456
2011,ADK90,Canoe,oc4,3,11458
2003,ADK90,Canoe,oc2am,2,11471
2009,ADK90,Canoe,oc2ammaster,1,11474
2009,ADK90,Canoe,oc2am,1,11477
2015,ADK90,Canoe,oc4mix,1,11479
2022,ADK90,Canoe,oc4,6,11481.2
2007,ADK90,Canoe,oc2ammaster,2,11486
