year,raceId,boatType,classId,place,value
2010,ADK90,Canoe,oc4,1,16205
2012,ADK90,Canoe,oc4,1,16214
2007,ADK90,Kayak,k2,1,16219
2024,ADK90,Unknown,voyageurmix,1,16233.6
2021,ADK90,Canoe,oc4stockmixmaster,2,16238
2015,ADK90,Canoe,oc4,1,16256
2007,ADK90,Canoe,voyageur,2,16270
2019,ADK90,Canoe,oc4stockmix,1,16271
2011,ADK90,Canoe,oc4mix,4,16272
2004,ADK90,Kayak,k1unlimited,1,16276
2013,ADK90,Canoe,oc4mix,7,16276
2008,ADK90,Canoe,voyageur,3,16276
2004,ADK90,Canoe,oc2ammix,1,16285
2004,ADK90,Canoe,oc2ammixmaster,1,16285
2011,ADK90,Canoe,oc2ammix,1,16287
2013,ADK90,Canoe,oc4,4,16289
2011,ADK90,Canoe,oc4mix,2,16293
2022,ADK90,Canoe,oc4,5,16298.4
2025,ADK90,Canoe,oc2openexhibmix,1,16299.6
2022,ADK90,Canoe,voyageur,1,16299.9
2009,ADK90,Canoe,oc2ammaster,1,16310
2013,ADK90,Canoe,oc4,3,16311
2014,ADK90,Canoe,oc4open,4,16328
2011,ADK90,Canoe,oc4mix,3,16343
2016,ADK90,Canoe,oc4open,3,16345
2004,ADK90,Unknown,voyageur,2,16350
2002,ADK90,Kayak,k2,2,16371
2009,ADK90,Canoe,oc2am,1,16376
2010,ADK90,Canoe,oc4,2,16376
2017,ADK90,Kayak,k2,2,16379
2006,ADK90,Canoe,oc2am,2,16381
2023,ADK90,Canoe,oc4stock,1,16391.6
2022,ADK90,Canoe,oc4,6,16403.1
2016,ADK90,Canoe,voyageur,2,16407
2015,ADK90,Canoe,voyageur,1,16424
2019,ADK90,Canoe,oc4stockmix,2,16424
2012,ADK90,Canoe,voyageur,2,16427
2003,ADK90,Kayak,k1unlimitedmaster,2,16433
2017,ADK90,Canoe,oc4,2,16435
2000,ADK90,Canoe,oc2rac,2,16437
2009,ADK90,Canoe,oc4,1,16454
2007,ADK90,Canoe,oc2am,1,16454
2011,ADK90,Canoe,oc4mix,6,16462
2011,ADK90,Canoe,oc2am,1,16472
2012,ADK90,Canoe,oc4open,3,16475
2015,ADK90,Canoe,oc4open,3,16477
2004,ADK90,Kayak,k1unlimitedmaster,2,16478
2014,ADK90,Canoe,oc4mix,2,16480
2004,ADK90,Canoe,oc2ammaster,5,16482
2022,ADK90,Canoe,oc4stock,1,16487.8
2025,ADK90,Canoe,oc4openmix,3,16493.3
2018,ADK90,Canoe,oc4open,1,16494
2010,ADK90,Kayak,k2master,2,16498
2011,ADK90,Canoe,oc4mix,7,16498
2008,ADK90,Canoe,oc4,1,16507
2004,ADK90,Canoe,oc2stdmaster,1,16515
2014,ADK90,Canoe,oc4,3,16527
2021,ADK90,Canoe,oc4stock,3,16530
2012,ADK90,Canoe,oc4mix,1,16538
2004,ADK90,Canoe,voyageur,3,16544
2004,ADK90,Canoe,oc2ammaster,6,16544
2008,ADK90,Canoe,oc4,2,16546
2010,ADK90,Canoe,oc4,3,16549
2008,ADK90,Canoe,voyageur,4,16549
2013,ADK90,Canoe,oc4,6,16551
2013,ADK90,Kayak,k2mix,1,16555
2022,ADK90,Kayak,k1unlimitedmaster,1,16562.3
2013,ADK90,Canoe,oc4,2,16564
2024,ADK90,Canoe,oc4stockmix,1,16570.7
2008,ADK90,Canoe,oc2am,1,16582
2008,ADK90,Canoe,oc2am,2,16582
2011,ADK90,Canoe,oc4open,3,16594
2013,ADK90,Kayak,k2mix,2,16605
2019,ADK90,Canoe,oc4stockmix,3,16609
2008,ADK90,Canoe,oc2ammaster,1,16610
2008,ADK90,Kayak,k2,1,16613
2013,ADK90,Canoe,oc4,7,16613
2012,ADK90,Canoe,oc4open,4,16622
2018,ADK90,Canoe,oc4open,2,16625
2013,ADK90,Canoe,oc4mix,8,16630
2011,ADK90,Canoe,voyageur,4,16632
2008,ADK90,Canoe,oc2ammaster,3,16636
2000,ADK90,Canoe,oc2racmaster,1,16639
2008,ADK90,Canoe,oc2ammixmaster,1,16646
2025,ADK90,Canoe,oc4open,4,16648.1
2023,ADK90,Canoe,oc4mix,5,16651.8
2022,ADK90,Canoe,oc2stockmixveteran,1,16665
2012,ADK90,Canoe,oc4mix,2,16673
2000,ADK90,Canoe,oc2rac,3,16676
2011,ADK90,Canoe,oc2am,3,16684
2007,ADK90,Canoe,oc2ammaster,1,16691
2011,ADK90,Canoe,oc4open,4,16693
2021,ADK90,Canoe,oc4stockmaster,1,16700
2023,ADK90,Canoe,oc4stockmix,1,16703.6
2003,ADK90,Canoe,oc2am,1,16708
2005,ADK90,Canoe,voyageur,1,16715
2017,ADK90,Canoe,oc4,3,16716
2003,ADK90,Canoe,oc2ammaster,1,16719
2000,ADK90,Canoe,oc2racmaster,2,16727
2015,ADK90,Canoe,oc4mix,1,16727
2006,ADK90,Kayak,k1unlimited,2,16728
2005,ADK90,Canoe,oc2ammaster,1,16729
2023,ADK90,Canoe,oc4,2,16729.9
2003,ADK90,Canoe,oc2am,2,16731
2005,ADK90,Canoe,oc2ammaster,2,16731
2000,ADK90,Canoe,oc2racmixmaster,1,16740
2005,ADK90,Canoe,oc2ammaster,3,16741
2005,ADK90,Canoe,oc2ammixmaster,1,16750
2008,ADK90,Canoe,voyageur,5,16752
2023,ADK90,Canoe,oc4stock,2,16752.4
2004,ADK90,Canoe,oc1ammaster,2,16754
2004,ADK90,Canoe,oc4,2,16754
2011,ADK90,Canoe,oc4mix,9,16758
2012,ADK90,Canoe,oc4mix,3,16762
2011,ADK90,Canoe,oc4mix,5,16762
2008,ADK90,Canoe,oc2ammaster,2,16765
2010,ADK90,Kayak,k2master,1,16767
2010,ADK90,Canoe,oc2am,1,16782
2014,ADK90,Canoe,oc4mix,1,16782
2010,ADK90,Canoe,oc4mix,2,16800
2016,ADK90,Canoe,oc4,1,16803
2017,ADK90,Canoe,oc4open,4,16807
2005,ADK90,Canoe,oc2am,1,16813
2005,ADK90,Canoe,oc2ammaster,5,16813
2013,ADK90,Canoe,oc4,5,16816
2004,ADK90,Canoe,oc2stdmaster,2,16817
2014,ADK90,Canoe,oc4mix,3,16818
2005,ADK90,Canoe,oc4,1,16819
2004,ADK90,Canoe,voyageur,5,16828
2009,ADK90,Canoe,oc4mix,1,16829
2012,ADK90,Canoe,oc4open,6,16835
2004,ADK90,Kayak,k1tour,1,16844
2009,ADK90,Canoe,oc4mix,2,16844
2021,ADK90,Canoe,oc4mix,1,16847
2004,ADK90,Canoe,oc2stdmaster,3,16851
2024,ADK90,Canoe,oc4stockmaster,1,16859.4
2021,ADK90,Canoe,oc4stockmaster,2,16863
2001,ADK90,Canoe,oc2rac,1,16867
2001,ADK90,Canoe,oc2rac,2,16867
2018,ADK90,Canoe,oc4open,3,16876
2001,ADK90,Canoe,oc2racmaster,3,16878
2004,ADK90,Kayak,k1tour,2,16883
2004,ADK90,Kayak,k1tour,3,16883
2006,ADK90,Kayak,k1unlimited,1,16887
2011,ADK90,Canoe,oc2am,2,16888
2006,ADK90,Canoe,oc1am,1,16892
2011,ADK90,Canoe,oc4mix,8,16893
2023,ADK90,Canoe,oc4stockmix,2,16894
2010,ADK90,Canoe,voyageur,4,16901
2015,ADK90,Canoe,oc4mix,2,16902
2006,ADK90,Canoe,oc2am,3,16914
2003,ADK90,Canoe,oc2ammaster,2,16927
2000,ADK90,Canoe,oc2racmaster,3,16927
2019,ADK90,Canoe,oc4open,4,16931
2005,ADK90,Kayak,k1unlimitedmaster,1,16933
2017,ADK90,Canoe,oc4mix,1,16935
2007,ADK90,Canoe,oc2ammaster,2,16944
2003,ADK90,Canoe,oc2ammaster,3,16948
2008,ADK90,Kayak,k2,2,16953
2007,ADK90,Unknown,voyageur,1,16954
2009,ADK90,Kayak,k2,1,16957
2006,ADK90,Canoe,oc2am,4,16962
2010,ADK90,Canoe,oc4,4,16964
2021,ADK90,Kayak,k1tourwomenmaster,1,16981
2021,ADK90,Kayak,k2,1,16984
2024,ADK90,Kayak,k1sportmaster,1,16988
2008,ADK90,Kayak,k1tourveteran,1,16991
2019,ADK90,Kayak,k1tourmaster,1,16992
2024,ADK90,Canoe,oc4stockmix,2,16994.6
2004,ADK90,Unknown,voyageur,6,17000
2021,ADK90,Canoe,oc4stockmixmaster,3,17012
2019,ADK90,Kayak,k2,1,17013
2010,ADK90,Canoe,oc4,5,17019
2005,ADK90,Canoe,oc2ammaster,4,17022
2005,ADK90,Canoe,oc2am,2,17023
2017,ADK90,Canoe,oc4,4,17024
2005,ADK90,Canoe,oc2ammaster,6,17024
2008,ADK90,Kayak,k1unlimited,3,17031
2001,ADK90,Canoe,oc2racmaster,1,17034
2017,ADK90,Canoe,oc4,6,17037
2000,ADK90,Canoe,oc2racmixmaster,2,17039
2006,ADK90,Canoe,oc2am,5,17041
2007,ADK90,Canoe,oc2am,2,17041
2004,ADK90,Canoe,oc2std,1,17042
2001,ADK90,Canoe,oc2rac,3,17048
2004,ADK90,Canoe,oc2am,6,17054
2004,ADK90,Kayak,k1unlimitedmaster,3,17066
2005,ADK90,Canoe,oc2am,3,17072
2019,ADK90,Canoe,oc4stock,1,17077
2001,ADK90,Canoe,oc2racmaster,2,17083
2021,ADK90,Canoe,oc4stockmix,1,17084
2021,ADK90,Unknown,voyageur,2,17084
2006,ADK90,Unknown,voyageur,1,17085
2006,ADK90,Canoe,oc4,1,17091
2017,ADK90,Canoe,oc4,5,17096
2008,ADK90,Canoe,oc4,3,17101
2003,ADK90,Canoe,oc2ammaster,4,17108
2023,ADK90,Canoe,oc4stock,3,17108.2
2004,ADK90,Canoe,oc2std,2,17111
2000,ADK90,Canoe,oc2racmaster,4,17113
2021,ADK90,Kayak,k2veteran,1,17115
2006,ADK90,Kayak,k1tourmaster,1,17116
2022,ADK90,Canoe,oc4stock,2,17120.4
2021,ADK90,Canoe,oc2stock,1,17121
2015,ADK90,Canoe,voyageur,2,17124
2004,ADK90,Unknown,voyageur,4,17125
2019,ADK90,Kayak,k1tourmaster,2,17144
2013,ADK90,Kayak,k2master,1,17152
2008,ADK90,Canoe,voyageuropen,1,17155
2000,ADK90,Canoe,oc2rac,4,17159
2017,ADK90,Canoe,oc2ammix,1,17164
2015,ADK90,Canoe,oc4open,4,17175
2004,ADK90,Canoe,oc2ammixmaster,2,17175
2009,ADK90,Canoe,oc4mix,3,17176
2004,ADK90,Canoe,oc2std,3,17185
2021,ADK90,Canoe,oc2stockmixmaster,1,17185
2012,ADK90,Canoe,oc4open,5,17198
2008,ADK90,Canoe,oc2am,3,17200
2000,ADK90,Canoe,oc2rac,5,17213
2000,ADK90,Kayak,k1,2,17221
2009,ADK90,Canoe,oc4,2,17224
2006,ADK90,Kayak,k1unlimited,3,17229
2000,ADK90,Kayak,k2,1,17229
2021,ADK90,Canoe,oc2stockmixveterans,1,17235
2004,ADK90,Kayak,k1unlimited,2,17239
2007,ADK90,Canoe,oc2ammaster,3,17239
2008,ADK90,Canoe,oc2stockmaster,1,17243
2009,ADK90,Kayak,k2,2,17243
2005,ADK90,Canoe,oc2ammaster,7,17247
2019,ADK90,Unknown,voyageur,2,17248
2006,ADK90,Canoe,voyageur,2,17258
2025,ADK90,Canoe,oc4stock,1,17259
2015,ADK90,Canoe,oc4mix,3,17264
2022,ADK90,Canoe,oc4stockmix,1,17266.6
2022,ADK90,Canoe,oc4,8,17271.3
2010,ADK90,Canoe,oc2ammix,1,17272
2009,ADK90,Canoe,oc4,4,17273
2009,ADK90,Kayak,k1unlimted,1,17278
2023,ADK90,Canoe,oc4stockmix,3,17292.3
2021,ADK90,Canoe,oc4stock,4,17307
2008,ADK90,Canoe,oc2stockmaster,2,17310
2009,ADK90,Canoe,voyageur,4,17311
2017,ADK90,Canoe,oc4mix,3,17313
2009,ADK90,Canoe,oc2am,2,17313
2001,ADK90,Canoe,oc2rac,4,17330
2011,ADK90,Canoe,open,NA,17333
2022,ADK90,Canoe,oc4,7,17334.2
2006,ADK90,Kayak,k2,1,17336
2013,ADK90,Canoe,oc4mix,9,17336
2013,ADK90,Canoe,oc2stock,2,17337
2023,ADK90,Kayak,k1master,1,17341.6
2017,ADK90,Kayak,k2mix,1,17342
2022,ADK90,Canoe,oc4stockmix,2,17342.4
2000,ADK90,Canoe,oc2racmixmaster,3,17346
2021,ADK90,Canoe,oc2mix,1,17348
2019,ADK90,Kayak,k1unlimited,3,17349
2005,ADK90,Canoe,oc1ammaster,1,17350
2005,ADK90,Canoe,oc2ammix,1,17360
2021,ADK90,Canoe,oc4stockmix,2,17360
2000,ADK90,Kayak,k1master,1,17361
