year,raceId,boatType,classId,place,value,temp,rain,water
2013,ADK90,Canoe,oc4open,1,16124,51.6,0,1706.88
2012,ADK90,Canoe,oc4open,1,16849,67.4,0,1706.75
2014,ADK90,Canoe,oc4open,1,17074,69.5,0,1706.89
2022,ADK90,Canoe,oc4,1,17159.3,63.4,0,1706.93
2013,ADK90,Canoe,oc4open,2,17387,51.6,0,1706.88
2025,ADK90,Kayak,k2,1,17411.5,58.7,0.37,1706.89
2017,ADK90,Canoe,oc4open,1,17415,51.1,0.484,1706.89
2023,ADK90,Canoe,oc4mix,1,17425.5,66.9,0.15,1706.8
2011,ADK90,Canoe,voyageur,1,17487,63.9,0,1706.86
2023,ADK90,Kayak,k2,1,17559.5,66.9,0.15,1706.8
2022,ADK90,Kayak,k1unlimitedopen,1,17569.6,63.4,0,1706.93
2021,ADK90,Canoe,oc4,1,17580,55.4,0.055,1706.94
2017,ADK90,Kayak,k2,1,17603,51.1,0.484,1706.89
2021,ADK90,Canoe,oc4,2,17627,55.4,0.055,1706.94
2012,ADK90,Canoe,oc4open,2,17659,67.4,0,1706.75
2024,ADK90,Kayak,k2,1,17674.3,61.6,0,1706.82
2024,ADK90,Canoe,oc4open,1,17725.8,61.6,0,1706.82
2025,ADK90,Canoe,oc4open,2,17765.9,58.7,0.37,1706.89
2023,ADK90,Canoe,oc4mix,2,17769.5,66.9,0.15,1706.8
2015,ADK90,Canoe,oc4open,1,17781,63.9,0,1706.82
2022,ADK90,Canoe,oc4,2,17784.4,63.4,0,1706.93
2025,ADK90,Canoe,oc4open,1,17792.7,58.7,0.37,1706.89
2017,ADK90,Canoe,oc4,1,17799,51.1,0.484,1706.89
2013,ADK90,Canoe,oc4mix,1,17817,51.6,0,1706.88
2019,ADK90,Canoe,oc4open,1,17952,58,0,1706.77
2009,ADK90,Canoe,voyageur,1,17966,57.2,0.016,1706.65
2024,ADK90,Canoe,oc4openmix,1,17974.4,61.6,0,1706.82
2016,ADK90,Canoe,oc4open,1,17985,70.2,0.02,1706.83
2018,ADK90,Canoe,oc4open,1,18061,61.9,0,1706.8
2012,ADK90,Canoe,voyageur,1,18092,67.4,0,1706.75
2018,ADK90,Kayak,k1unlimited,1,18104,61.9,0,1706.8
2016,ADK90,Canoe,oc4mix,1,18109,70.2,0.02,1706.83
2017,ADK90,Canoe,oc4open,2,18111,51.1,0.484,1706.89
2013,ADK90,Canoe,voyageur,1,18126,51.6,0,1706.88
2019,ADK90,Canoe,oc4open,2,18126,58,0,1706.77
2013,ADK90,Canoe,oc4open,3,18162,51.6,0,1706.88
2016,ADK90,Canoe,oc4open,2,18164,70.2,0.02,1706.83
2013,ADK90,Canoe,oc4mix,2,18191,51.6,0,1706.88
2014,ADK90,Canoe,oc4open,3,18197,69.5,0,1706.89
2008,ADK90,Canoe,voyageur,2,18205,72.3,0,1706.81
2025,ADK90,Canoe,oc4open,3,18212.4,58.7,0.37,1706.89
2024,ADK90,Canoe,oc4open,2,18275.7,61.6,0,1706.82
2018,ADK90,Canoe,oc4open,2,18300,61.9,0,1706.8
2025,ADK90,Canoe,oc4openmix,1,18326.8,58.7,0.37,1706.89
2013,ADK90,Canoe,oc4open,4,18330,51.6,0,1706.88
2013,ADK90,Canoe,oc4open,5,18335,51.6,0,1706.88
2014,ADK90,Canoe,oc4women,1,18339,69.5,0,1706.89
2024,ADK90,Canoe,oc4open,3,18351.1,61.6,0,1706.82
2013,ADK90,Canoe,oc4mix,3,18394,51.6,0,1706.88
2025,ADK90,Canoe,oc4openmix,3,18422.6,58.7,0.37,1706.89
2008,ADK90,Kayak,k1unlimited,1,18434,72.3,0,1706.81
2023,ADK90,Canoe,oc4,1,18447.3,66.9,0.15,1706.8
2013,ADK90,Canoe,oc4mix,4,18451,51.6,0,1706.88
2015,ADK90,Canoe,oc4open,3,18452,63.9,0,1706.82
2023,ADK90,Canoe,oc4mix,4,18453.7,66.9,0.15,1706.8
2014,ADK90,Canoe,oc4open,2,18464,69.5,0,1706.89
2011,ADK90,Canoe,oc4open,2,18481,63.9,0,1706.86
2010,ADK90,Canoe,voyageur,1,18497,52.8,0.043,1706.87
2008,ADK90,Canoe,voyageur,1,18516,72.3,0,1706.81
2011,ADK90,Canoe,oc4open,1,18529,63.9,0,1706.86
2014,ADK90,Canoe,oc4,2,18529,69.5,0,1706.89
2019,ADK90,Kayak,k1unlimited,1,18553,58,0,1706.77
2016,ADK90,Kayak,k2,1,18570,70.2,0.02,1706.83
2025,ADK90,Canoe,oc4open,4,18574.2,58.7,0.37,1706.89
2012,ADK90,Canoe,oc4,1,18578,67.4,0,1706.75
2014,ADK90,Canoe,oc4,1,18582,69.5,0,1706.89
2015,ADK90,Canoe,oc4open,2,18586,63.9,0,1706.82
2014,ADK90,Canoe,voyageur,1,18619,69.5,0,1706.89
2011,ADK90,Canoe,voyageur,2,18638,63.9,0,1706.86
2009,ADK90,Canoe,voyageur,2,18640,57.2,0.016,1706.65
2013,ADK90,Canoe,oc4mix,5,18653,51.6,0,1706.88
2015,ADK90,Canoe,oc4,1,18656,63.9,0,1706.82
2012,ADK90,Canoe,voyageur,2,18662,67.4,0,1706.75
2023,ADK90,Kayak,k1unlimited,1,18666.5,66.9,0.15,1706.8
2025,ADK90,Canoe,oc4openmix,2,18698.7,58.7,0.37,1706.89
2023,ADK90,Unknown,voyageur,1,18724.4,66.9,0.15,1706.8
2023,ADK90,Canoe,oc4mix,3,18731.7,66.9,0.15,1706.8
2018,ADK90,Canoe,oc4open,3,18743,61.9,0,1706.8
2015,ADK90,Canoe,voyageur,1,18753,63.9,0,1706.82
2016,ADK90,Canoe,voyageur,1,18795,70.2,0.02,1706.83
2021,ADK90,Kayak,k4,1,18813,55.4,0.055,1706.94
2016,ADK90,Canoe,oc4open,3,18815,70.2,0.02,1706.83
2017,ADK90,Canoe,oc4open,3,18864,51.1,0.484,1706.89
2022,ADK90,Canoe,oc4,3,18891,63.4,0,1706.93
2010,ADK90,Canoe,oc4mix,1,18912,52.8,0.043,1706.87
2012,ADK90,Canoe,oc4mix,1,18923,67.4,0,1706.75
2016,ADK90,Canoe,oc4mix,2,18951,70.2,0.02,1706.83
2012,ADK90,Canoe,oc4open,3,18952,67.4,0,1706.75
2015,ADK90,Canoe,oc4mix,1,18988,63.9,0,1706.82
2008,ADK90,Canoe,oc2am,1,19025,72.3,0,1706.81
2018,ADK90,Canoe,oc4stock,1,19028,61.9,0,1706.8
2021,ADK90,Canoe,oc4,3,19073,55.4,0.055,1706.94
2013,ADK90,Canoe,oc4open,6,19075,51.6,0,1706.88
2024,ADK90,Kayak,k1openmaster,1,19079.9,61.6,0,1706.82
2012,ADK90,Canoe,oc4open,5,19092,67.4,0,1706.75
2018,ADK90,Unknown,voyageur,1,19093,61.9,0,1706.8
2022,ADK90,Canoe,oc4,4,19095.5,63.4,0,1706.93
2014,ADK90,Canoe,voyageur,2,19113,69.5,0,1706.89
2024,ADK90,Unknown,voyageurmix,1,19154.7,61.6,0,1706.82
2012,ADK90,Canoe,oc4mix,4,19159,67.4,0,1706.75
2013,ADK90,Canoe,oc4,4,19162,51.6,0,1706.88
2024,ADK90,Canoe,oc4open,4,19162.8,61.6,0,1706.82
2008,ADK90,Canoe,oc2am,2,19203,72.3,0,1706.81
2021,ADK90,Canoe,oc4stockmixmaster,1,19226,55.4,0.055,1706.94
2018,ADK90,Canoe,oc4stockmix,1,19231,61.9,0,1706.8
2012,ADK90,Kayak,k2,2,19283,67.4,0,1706.75
2013,ADK90,Kayak,k1unlimited,1,19287,51.6,0,1706.88
2013,ADK90,Canoe,oc4mix,6,19290,51.6,0,1706.88
2025,ADK90,Canoe,oc2openexhibmix,1,19345.3,58.7,0.37,1706.89
2011,ADK90,Canoe,oc4,1,19351,63.9,0,1706.86
2012,ADK90,Canoe,oc4open,4,19352,67.4,0,1706.75
2008,ADK90,Canoe,oc2ammaster,1,19356,72.3,0,1706.81
2012,ADK90,Canoe,oc4mix,3,19357,67.4,0,1706.75
2017,ADK90,Canoe,voyageur,2,19379,51.1,0.484,1706.89
2016,ADK90,Canoe,voyageur,2,19389,70.2,0.02,1706.83
2012,ADK90,Canoe,oc4mix,2,19401,67.4,0,1706.75
2010,ADK90,Canoe,oc4,3,19415,52.8,0.043,1706.87
2015,ADK90,Canoe,oc4mix,2,19440,63.9,0,1706.82
2017,ADK90,Canoe,oc4,2,19452,51.1,0.484,1706.89
2013,ADK90,Canoe,oc4,1,19460,51.6,0,1706.88
2022,ADK90,Canoe,oc4stock,1,19469.4,63.4,0,1706.93
2017,ADK90,Kayak,k2,2,19473,51.1,0.484,1706.89
2013,ADK90,Canoe,oc4,3,19477,51.6,0,1706.88
2014,ADK90,Canoe,oc4,3,19479,69.5,0,1706.89
