year,raceId,boatType,classId,place,value,temp,rain,water
2021,ADK90,Canoe,oc4stock,1,19485,55.4,0.055,1706.94
2010,ADK90,Canoe,oc4,1,19485,52.8,0.043,1706.87
2014,ADK90,Canoe,oc4open,4,19502,69.5,0,1706.89
2022,ADK90,Canoe,oc4,5,19504.3,63.4,0,1706.93
2025,ADK90,Canoe,oc4stockmix,1,19515.8,58.7,0.37,1706.89
2016,ADK90,Canoe,oc4,1,19521,70.2,0.02,1706.83
2022,ADK90,Canoe,oc4,6,19527.7,63.4,0,1706.93
2023,ADK90,Canoe,oc4stockmix,1,19531,66.9,0.15,1706.8
2010,ADK90,Canoe,oc2am,1,19575,52.8,0.043,1706.87
2021,ADK90,Unknown,voyageur,1,19581,55.4,0.055,1706.94
2009,ADK90,Canoe,voyageur,3,19608,57.2,0.016,1706.65
2011,ADK90,Canoe,voyageur,3,19614,63.9,0,1706.86
2019,ADK90,Canoe,oc4open,3,19617,58,0,1706.77
2008,ADK90,Canoe,voyageur,3,19617,72.3,0,1706.81
2024,ADK90,Canoe,oc4openmix,2,19627,61.6,0,1706.82
2025,ADK90,Canoe,oc4stock,1,19630.2,58.7,0.37,1706.89
2021,ADK90,Canoe,oc4stock,2,19631,55.4,0.055,1706.94
2022,ADK90,Canoe,voyageur,1,19634,63.4,0,1706.93
2017,ADK90,Canoe,voyageur,1,19634,51.1,0.484,1706.89
2010,ADK90,Canoe,oc4,2,19646,52.8,0.043,1706.87
2013,ADK90,Canoe,oc4,2,19656,51.6,0,1706.88
2019,ADK90,Kayak,k1unlimited,2,19659,58,0,1706.77
2025,ADK90,Canoe,oc4stockmix,2,19692.9,58.7,0.37,1706.89
2015,ADK90,Canoe,voyageur,2,19707,63.9,0,1706.82
2023,ADK90,Canoe,oc4stock,1,19722.4,66.9,0.15,1706.8
2024,ADK90,Canoe,oc4openmix,3,19746.8,61.6,0,1706.82
2019,ADK90,Unknown,voyageur,1,19753,58,0,1706.77
2008,ADK90,Canoe,oc4mix,1,19760,72.3,0,1706.81
2017,ADK90,Canoe,oc4mix,1,19761,51.1,0.484,1706.89
2011,ADK90,Canoe,oc4,2,19785,63.9,0,1706.86
2015,ADK90,Canoe,oc4mix,3,19786,63.9,0,1706.82
2010,ADK90,Canoe,open,NA,19792,52.8,0.043,1706.87
2010,ADK90,Canoe,voyageur,4,19796,52.8,0.043,1706.87
2009,ADK90,Canoe,oc2ammaster,1,19855,57.2,0.016,1706.65
2009,ADK90,Canoe,oc2am,1,19871,57.2,0.016,1706.65
2023,ADK90,Canoe,oc4,2,19901.8,66.9,0.15,1706.8
2017,ADK90,Canoe,oc4open,4,19917,51.1,0.484,1706.89
2012,ADK90,Canoe,oc4,2,19923,67.4,0,1706.75
2008,ADK90,Kayak,k1tourveteran,1,19929,72.3,0,1706.81
2013,ADK90,Canoe,oc4mix,7,19944,51.6,0,1706.88
2017,ADK90,Canoe,oc4,3,19964,51.1,0.484,1706.89
2018,ADK90,Kayak,k2,1,19978,61.9,0,1706.8
2008,ADK90,Canoe,oc2ammixmaster,1,20002,72.3,0,1706.81
2017,ADK90,Canoe,oc2ammix,1,20002,51.1,0.484,1706.89
2025,ADK90,Unknown,voyageurmix,1,20008.3,58.7,0.37,1706.89
2025,ADK90,Kayak,k1open,1,20014.6,58.7,0.37,1706.89
2008,ADK90,Canoe,oc2am,3,20019,72.3,0,1706.81
2008,ADK90,Kayak,k1unlimited,2,20024,72.3,0,1706.81
2014,ADK90,Canoe,oc4mix,1,20026,69.5,0,1706.89
2013,ADK90,Canoe,oc4mix,8,20027,51.6,0,1706.88
2025,ADK90,Canoe,oc4stockmixmaster,1,20043,58.7,0.37,1706.89
2010,ADK90,Kayak,k2master,2,20048,52.8,0.043,1706.87
2018,ADK90,Canoe,oc4open,4,20056,61.9,0,1706.8
2018,ADK90,Unknown,voyageur,2,20069,61.9,0,1706.8
2013,ADK90,Kayak,k2master,1,20070,51.6,0,1706.88
2010,ADK90,Canoe,voyageur,2,20082,52.8,0.043,1706.87
2010,ADK90,Canoe,voyageur,3,20082,52.8,0.043,1706.87
2022,ADK90,Canoe,oc4stockmix,1,20101.4,63.4,0,1706.93
2008,ADK90,Canoe,oc2ammaster,2,20110,72.3,0,1706.81
2008,ADK90,Canoe,oc4,1,20115,72.3,0,1706.81
2015,ADK90,Canoe,oc4open,4,20124,63.9,0,1706.82
2024,ADK90,Canoe,oc4stockmix,1,20157.9,61.6,0,1706.82
2014,ADK90,Canoe,oc4,4,20176,69.5,0,1706.89
2010,ADK90,Canoe,oc4mix,2,20194,52.8,0.043,1706.87
2017,ADK90,Canoe,oc4,4,20214,51.1,0.484,1706.89
2021,ADK90,Canoe,oc4stockmixmaster,2,20216,55.4,0.055,1706.94
2011,ADK90,Canoe,oc4,3,20218,63.9,0,1706.86
2012,ADK90,Kayak,k1tour,1,20230,67.4,0,1706.75
2019,ADK90,Canoe,oc4stockmix,1,20246,58,0,1706.77
2021,ADK90,Unknown,voyageur,2,20249,55.4,0.055,1706.94
2012,ADK90,Kayak,k2,1,20256,67.4,0,1706.75
2024,ADK90,Canoe,oc4stockmix,2,20259.4,61.6,0,1706.82
2010,ADK90,Canoe,oc2ammaster,1,20261,52.8,0.043,1706.87
2025,ADK90,Kayak,k1sportmaster,1,20279.5,58.7,0.37,1706.89
2025,ADK90,Canoe,oc1open,1,20282.9,58.7,0.37,1706.89
2013,ADK90,Kayak,k2mix,1,20288,51.6,0,1706.88
2009,ADK90,Canoe,oc4,1,20291,57.2,0.016,1706.65
2023,ADK90,Canoe,oc4mix,5,20316.2,66.9,0.15,1706.8
2024,ADK90,Kayak,k1sportmaster,1,20326.9,61.6,0,1706.82
2008,ADK90,Canoe,oc2ammaster,3,20339,72.3,0,1706.81
2008,ADK90,Canoe,voyageur,4,20341,72.3,0,1706.81
2012,ADK90,Canoe,oc2ammix,1,20344,67.4,0,1706.75
2010,ADK90,Kayak,k2master,1,20364,52.8,0.043,1706.87
2017,ADK90,Kayak,k2mix,1,20368,51.1,0.484,1706.89
2013,ADK90,Canoe,oc4,5,20401,51.6,0,1706.88
2017,ADK90,Canoe,oc2amwomen,1,20407,51.1,0.484,1706.89
2010,ADK90,Canoe,oc4,4,20415,52.8,0.043,1706.87
2025,ADK90,Canoe,oc4openmix,4,20420.8,58.7,0.37,1706.89
2014,ADK90,Kayak,k2mix,1,20436,69.5,0,1706.89
2017,ADK90,Canoe,oc4,6,20444,51.1,0.484,1706.89
2011,ADK90,Canoe,oc2ammix,1,20463,63.9,0,1706.86
2017,ADK90,Canoe,oc4,5,20463,51.1,0.484,1706.89
2014,ADK90,Canoe,oc4mix,3,20472,69.5,0,1706.89
2009,ADK90,Canoe,oc4mix,1,20493,57.2,0.016,1706.65
2010,ADK90,Canoe,oc4,5,20498,52.8,0.043,1706.87
2013,ADK90,Kayak,k1tourveteran,1,20504,51.6,0,1706.88
2023,ADK90,Canoe,oc4stockgoldnc,1,20527.6,66.9,0.15,1706.8
2013,ADK90,Kayak,k2mix,2,20535,51.6,0,1706.88
2014,ADK90,Canoe,oc2stockmix,1,20546,69.5,0,1706.89
2017,ADK90,Canoe,oc4mix,2,20553,51.1,0.484,1706.89
2016,ADK90,Canoe,oc4mix,3,20553,70.2,0.02,1706.83
2023,ADK90,Kayak,k1master,1,20553.7,66.9,0.15,1706.8
2011,ADK90,Canoe,oc2am,1,20555,63.9,0,1706.86
2009,ADK90,Canoe,oc4mix,3,20568,57.2,0.016,1706.65
2021,ADK90,Canoe,oc4stockmaster,1,20572,55.4,0.055,1706.94
2013,ADK90,Canoe,oc4,6,20572,51.6,0,1706.88
2023,ADK90,Canoe,oc4stockmix,3,20574.4,66.9,0.15,1706.8
2021,ADK90,Canoe,oc4stock,3,20592,55.4,0.055,1706.94
2023,ADK90,Canoe,oc4stockmix,2,20592.1,66.9,0.15,1706.8
2012,ADK90,Canoe,oc4mix,5,20599,67.4,0,1706.75
2017,ADK90,Canoe,oc4mix,4,20606,51.1,0.484,1706.89
2013,ADK90,Canoe,oc4,7,20610,51.6,0,1706.88
2014,ADK90,Kayak,k2mix,2,20617,69.5,0,1706.89
2023,ADK90,Canoe,oc4stock,2,20624.7,66.9,0.15,1706.8
2015,ADK90,Canoe,oc2stockmaster,1,20632,63.9,0,1706.82
2022,ADK90,Canoe,oc4,7,20659.3,63.4,0,1706.93
2017,ADK90,Canoe,oc1recmaster,1,20660,51.1,0.484,1706.89
2013,ADK90,Canoe,oc2stock,1,20669,51.6,0,1706.88
2018,ADK90,Canoe,oc4stockmix,2,20673,61.9,0,1706.8
2017,ADK90,Kayak,k1tourveteran,1,20676,51.1,0.484,1706.89
2010,ADK90,Canoe,oc2ammix,1,20680,52.8,0.043,1706.87
2015,ADK90,Canoe,oc4mix,4,20681,63.9,0,1706.82
2011,ADK90,Canoe,oc4mix,1,20685,63.9,0,1706.86
2018,ADK90,Kayak,k1tour,1,20685,61.9,0,1706.8
2008,ADK90,Canoe,oc4,2,20689,72.3,0,1706.81
2019,ADK90,Canoe,oc4stockmix,2,20699,58,0,1706.77
2014,ADK90,Canoe,oc4mix,2,20709,69.5,0,1706.89
2011,ADK90,Kayak,k2,1,20710,63.9,0,1706.86
2014,ADK90,Kayak,k1tourveteran,1,20714,69.5,0,1706.89
2013,ADK90,Canoe,oc4mix,10,20718,51.6,0,1706.88
2013,ADK90,Canoe,oc4mix,9,20735,51.6,0,1706.88
2012,ADK90,Kayak,k1tour,2,20739,67.4,0,1706.75
2018,ADK90,Kayak,k1tour,2,20747,61.9,0,1706.8
2018,ADK90,Canoe,oc1stock,1,20748,61.9,0,1706.8
2012,ADK90,Canoe,oc4open,6,20756,67.4,0,1706.75
2009,ADK90,Kayak,k2,1,20758,57.2,0.016,1706.65
2023,ADK90,Canoe,oc4stock,3,20759.6,66.9,0.15,1706.8
2022,ADK90,Canoe,oc4,8,20761,63.4,0,1706.93
2021,ADK90,Kayak,k2veteran,1,20780,55.4,0.055,1706.94
2012,ADK90,Canoe,oc2stockmaster,1,20780,67.4,0,1706.75
2019,ADK90,Canoe,oc4stockmix,3,20786,58,0,1706.77
2023,ADK90,Canoe,oc4mix,6,20790.7,66.9,0.15,1706.8
2021,ADK90,Kayak,k2,1,20798,55.4,0.055,1706.94
2014,ADK90,Canoe,oc4mix,4,20811,69.5,0,1706.89
2014,ADK90,Canoe,oc4mix,5,20837,69.5,0,1706.89
2010,ADK90,Canoe,oc2am,2,20837,52.8,0.043,1706.87
2011,ADK90,Kayak,k2,2,20838,63.9,0,1706.86
2022,ADK90,Canoe,oc4stock,2,20838.4,63.4,0,1706.93
2011,ADK90,Canoe,oc4mix,5,20854,63.9,0,1706.86
2016,ADK90,Canoe,oc4women,1,20866,70.2,0.02,1706.83
2011,ADK90,Canoe,oc4mix,2,20868,63.9,0,1706.86
2008,ADK90,Canoe,oc2stockmaster,1,20868,72.3,0,1706.81
2021,ADK90,Canoe,oc4mix,2,20871,55.4,0.055,1706.94
2011,ADK90,Canoe,oc4mix,3,20874,63.9,0,1706.86
2023,ADK90,Canoe,oc1stockveteran,1,20874,66.9,0.15,1706.8
2015,ADK90,Canoe,oc4,2,20893,63.9,0,1706.82
2012,ADK90,Canoe,oc4mix,6,20893,67.4,0,1706.75
2013,ADK90,Canoe,oc2stockmaster,1,20899,51.6,0,1706.88
2010,ADK90,Canoe,oc4,6,20901,52.8,0.043,1706.87
2009,ADK90,Canoe,oc2ammaster,2,20903,57.2,0.016,1706.65
2016,ADK90,Canoe,oc2stockmaster,1,20904,70.2,0.02,1706.83
2010,ADK90,Kayak,k1tour,1,20906,52.8,0.043,1706.87
2018,ADK90,Canoe,oc4stock,2,20911,61.9,0,1706.8
2009,ADK90,Canoe,oc4mix,2,20915,57.2,0.016,1706.65
2008,ADK90,Kayak,k2,3,20919,72.3,0,1706.81
2016,ADK90,Canoe,oc4mix,4,20920,70.2,0.02,1706.83
2016,ADK90,Canoe,oc2am,1,20929,70.2,0.02,1706.83
2008,ADK90,Canoe,voyageuropen,1,20940,72.3,0,1706.81
2019,ADK90,Canoe,oc4open,4,20945,58,0,1706.77
2008,ADK90,Kayak,k1women,2,20950,72.3,0,1706.81
2008,ADK90,Canoe,voyageur,5,20952,72.3,0,1706.81
2022,ADK90,Canoe,oc2stockmixmaster,1,20957.9,63.4,0,1706.93
2017,ADK90,Canoe,oc4mix,3,20961,51.1,0.484,1706.89
2010,ADK90,Canoe,oc2am,4,20962,52.8,0.043,1706.87
2011,ADK90,Canoe,voyageur,4,20962,63.9,0,1706.86
2009,ADK90,Kayak,k1tourveteran,1,20966,57.2,0.016,1706.65
2013,ADK90,Canoe,oc2am,1,20973,51.6,0,1706.88
2022,ADK90,Canoe,oc4stockmix,3,20981.2,63.4,0,1706.93
2015,ADK90,Canoe,oc4mix,5,20982,63.9,0,1706.82
2023,ADK90,Kayak,k2,2,20987.5,66.9,0.15,1706.8
2022,ADK90,Canoe,oc1stockmaster,1,20990.4,63.4,0,1706.93
2018,ADK90,Canoe,open,NA,20993,61.9,0,1706.8
2008,ADK90,Kayak,k2,1,20997,72.3,0,1706.81
2012,ADK90,Canoe,oc4mix,7,21001,67.4,0,1706.75
2013,ADK90,Canoe,oc2stock,2,21013,51.6,0,1706.88
2012,ADK90,Canoe,voyageur,3,21024,67.4,0,1706.75
2024,ADK90,Canoe,oc4stockmaster,1,21027.3,61.6,0,1706.82
2011,ADK90,Canoe,oc2am,2,21039,63.9,0,1706.86
2016,ADK90,Canoe,oc2stock,2,21047,70.2,0.02,1706.83
2008,ADK90,Kayak,k1unlimited,3,21047,72.3,0,1706.81
2008,ADK90,Canoe,oc2family,1,21051,72.3,0,1706.81
2014,ADK90,Canoe,oc1rec,1,21055,69.5,0,1706.89
2021,ADK90,Canoe,oc4mix,1,21058,55.4,0.055,1706.94
2011,ADK90,Canoe,oc4mix,6,21064,63.9,0,1706.86
2019,ADK90,Canoe,oc4stock,1,21075,58,0,1706.77
2025,ADK90,Canoe,oc4openmix,5,21079,58.7,0.37,1706.89
2011,ADK90,Canoe,oc4open,4,21083,63.9,0,1706.86
2009,ADK90,Canoe,oc4,2,21086,57.2,0.016,1706.65
2022,ADK90,Kayak,k1unlimitedmaster,1,21090.7,63.4,0,1706.93
2017,ADK90,Kayak,k1tour,1,21093,51.1,0.484,1706.89
2016,ADK90,Canoe,oc2stockmixveteran,1,21101,70.2,0.02,1706.83
2010,ADK90,Canoe,oc2stockmaster,1,21109,52.8,0.043,1706.87
2009,ADK90,Kayak,k2,2,21111,57.2,0.016,1706.65
2015,ADK90,Canoe,oc1recmaster,1,21124,63.9,0,1706.82
2009,ADK90,Canoe,oc4,3,21127,57.2,0.016,1706.65
2023,ADK90,Canoe,oc4stockwomen,1,21135,66.9,0.15,1706.8
2025,ADK90,Canoe,oc2stockmixmaster,2,21140.2,58.7,0.37,1706.89
2010,ADK90,Canoe,oc2ammaster,2,21148,52.8,0.043,1706.87
2012,ADK90,Canoe,oc4mix,9,21149,67.4,0,1706.75
2008,ADK90,Canoe,oc2stockmaster,2,21151,72.3,0,1706.81
2017,ADK90,Canoe,oc2stockmixmaster,1,21152,51.1,0.484,1706.89
2010,ADK90,Canoe,voyageur,5,21173,52.8,0.043,1706.87
2016,ADK90,Canoe,oc1recmaster,1,21175,70.2,0.02,1706.83
2019,ADK90,Unknown,voyageur,2,21180,58,0,1706.77
2010,ADK90,Canoe,oc2am,3,21184,52.8,0.043,1706.87
2017,ADK90,Canoe,oc4mix,5,21187,51.1,0.484,1706.89
2008,ADK90,Canoe,oc4,3,21197,72.3,0,1706.81
2021,ADK90,Canoe,oc2stock,1,21202,55.4,0.055,1706.94
2011,ADK90,Canoe,oc4mix,4,21204,63.9,0,1706.86
2024,ADK90,Unknown,solorecveteran,1,21205.2,61.6,0,1706.82
2012,ADK90,Canoe,oc2stockmaster,2,21208,67.4,0,1706.75
2011,ADK90,Canoe,oc4mix,8,21212,63.9,0,1706.86
2008,ADK90,Canoe,oc4mix,3,21213,72.3,0,1706.81
2012,ADK90,Canoe,oc2amwomen,1,21216,67.4,0,1706.75
2016,ADK90,Kayak,k1tourmaster,1,21217,70.2,0.02,1706.83
2008,ADK90,Canoe,oc2stock,2,21230,72.3,0,1706.81
2008,ADK90,Canoe,oc4mix,2,21233,72.3,0,1706.81
2019,ADK90,Kayak,k2,1,21234,58,0,1706.77
2015,ADK90,Kayak,k1tourveteran,1,21235,63.9,0,1706.82
2013,ADK90,Kayak,k1tour,1,21245,51.6,0,1706.88
2008,ADK90,Kayak,k1tour,1,21256,72.3,0,1706.81
2025,ADK90,Canoe,oc2stockmixmaster,1,21260.2,58.7,0.37,1706.89
2022,ADK90,Kayak,k1tourmaster,1,21264.8,63.4,0,1706.93
2011,ADK90,Kayak,k1tour,1,21266,63.9,0,1706.86
2014,ADK90,Canoe,oc4,5,21270,69.5,0,1706.89
2016,ADK90,Canoe,oc4mix,6,21272,70.2,0.02,1706.83
2022,ADK90,Canoe,oc4stockmix,2,21274.1,63.4,0,1706.93
2016,ADK90,Canoe,oc4,2,21275,70.2,0.02,1706.83
2025,ADK90,Canoe,oc4stockmixmaster,2,21279.6,58.7,0.37,1706.89
2018,ADK90,Canoe,oc4stockmix,3,21284,61.9,0,1706.8
2015,ADK90,Canoe,oc4mix,6,21287,63.9,0,1706.82
2011,ADK90,Canoe,oc4open,3,21293,63.9,0,1706.86
2013,ADK90,Canoe,open,NA,21299,51.6,0,1706.88
2011,ADK90,Canoe,oc2am,3,21300,63.9,0,1706.86
2016,ADK90,Canoe,oc2stockmixmaster,1,21307,70.2,0.02,1706.83
2014,ADK90,Canoe,open,NA,21308,69.5,0,1706.89
2023,ADK90,Canoe,oc2stock,1,21309.9,66.9,0.15,1706.8
2021,ADK90,Canoe,oc4stockmixmaster,3,21313,55.4,0.055,1706.94
2024,ADK90,Kayak,k1sportmaster,2,21313.1,61.6,0,1706.82
2016,ADK90,Canoe,oc2stock,1,21318,70.2,0.02,1706.83
2012,ADK90,Canoe,oc2stockveteran,1,21327,67.4,0,1706.75
2017,ADK90,Canoe,oc1rec,1,21344,51.1,0.484,1706.89
2019,ADK90,Kayak,k1tourmaster,2,21361,58,0,1706.77
2021,ADK90,Canoe,oc2stockmixveterans,1,21362,55.4,0.055,1706.94
2021,ADK90,Canoe,oc4stockmaster,2,21381,55.4,0.055,1706.94
2025,ADK90,Unknown,solorec,1,21386.5,58.7,0.37,1706.89
2019,ADK90,Kayak,k1tourmaster,1,21387,58,0,1706.77
2014,ADK90,Canoe,oc4mix,9,21389,69.5,0,1706.89
2015,ADK90,Kayak,k1tourmaster,1,21395,63.9,0,1706.82
2017,ADK90,Canoe,oc4mix,6,21438,51.1,0.484,1706.89
2008,ADK90,Canoe,oc2ammixmaster,2,21455,72.3,0,1706.81
2012,ADK90,Canoe,oc4mix,8,21460,67.4,0,1706.75
2008,ADK90,Kayak,k1tourveteran,2,21461,72.3,0,1706.81
